kernel,shape,M,N,K,variant,ms,gflops,occMaxThreads,sharedBytes,wgSize,golden
regGen,QKV-KV,262,1024,2816,TM8xTN1_sg2x4_BK32,0.933333,1618.926446,maxThreads=1024 execWidth=32 tgMem=0,10240,256,PASS
regGen,QKV-KV,262,1024,2816,TM8xTN1_sg2x4_BK64,1.633333,925.100826,maxThreads=1024 execWidth=32 tgMem=0,20480,256,PASS
regGen,QKV-KV,262,1024,2816,TM8xTN2_sg2x4_BK16,1.000000,1510.998016,maxThreads=1024 execWidth=32 tgMem=0,6144,256,PASS
regGen,QKV-KV,262,1024,2816,TM8xTN2_sg2x4_BK32,1.033333,1462.256145,maxThreads=1024 execWidth=32 tgMem=0,12288,256,PASS
regGen,QKV-KV,262,1024,2816,TM8xTN2_sg2x4_BK64,1.400000,1079.284297,maxThreads=1024 execWidth=32 tgMem=0,24576,256,PASS
regGen,QKV-KV,262,1024,2816,TM8xTN4_sg2x4_BK16,1.033333,1462.256145,maxThreads=1024 execWidth=32 tgMem=0,8192,256,PASS
regGen,QKV-KV,262,1024,2816,TM8xTN4_sg2x4_BK32,1.666667,906.598810,maxThreads=1024 execWidth=32 tgMem=0,16384,256,PASS
regGen,QKV-KV,262,1024,2816,TM8xTN4_sg2x4_BK64,2.100000,719.522865,maxThreads=1024 execWidth=32 tgMem=0,32768,256,PASS
regGen,QKV-KV,262,1024,2816,TM1xTN1_sg4x1_BK32,0.933333,1618.926446,maxThreads=1024 execWidth=32 tgMem=0,2560,128,PASS
regGen,QKV-KV,262,1024,2816,TM1xTN1_sg4x1_BK64,0.766667,1970.866977,maxThreads=1024 execWidth=32 tgMem=0,5120,128,PASS
regGen,QKV-KV,262,1024,2816,TM1xTN2_sg4x1_BK16,0.333333,4532.994048,maxThreads=1024 execWidth=32 tgMem=0,1536,128,PASS
regGen,QKV-KV,262,1024,2816,TM1xTN2_sg4x1_BK32,0.700000,2158.568594,maxThreads=1024 execWidth=32 tgMem=0,3072,128,PASS
regGen,QKV-KV,262,1024,2816,TM1xTN2_sg4x1_BK64,0.766667,1970.866977,maxThreads=1024 execWidth=32 tgMem=0,6144,128,PASS
regGen,QKV-KV,262,1024,2816,TM1xTN4_sg4x1_BK16,0.666667,2266.497024,maxThreads=1024 execWidth=32 tgMem=0,2048,128,PASS
regGen,QKV-KV,262,1024,2816,TM1xTN4_sg4x1_BK32,0.833333,1813.197619,maxThreads=1024 execWidth=32 tgMem=0,4096,128,PASS
regGen,QKV-KV,262,1024,2816,TM1xTN4_sg4x1_BK64,0.966667,1563.101396,maxThreads=1024 execWidth=32 tgMem=0,8192,128,PASS
regGen,QKV-KV,262,1024,2816,TM2xTN1_sg4x1_BK32,0.766667,1970.866977,maxThreads=1024 execWidth=32 tgMem=0,4608,128,PASS
regGen,QKV-KV,262,1024,2816,TM2xTN1_sg4x1_BK64,0.900000,1678.886684,maxThreads=1024 execWidth=32 tgMem=0,9216,128,PASS
regGen,QKV-KV,262,1024,2816,TM2xTN2_sg4x1_BK16,0.700000,2158.568594,maxThreads=1024 execWidth=32 tgMem=0,2560,128,PASS
regGen,QKV-KV,262,1024,2816,TM2xTN2_sg4x1_BK32,0.733333,2060.451840,maxThreads=1024 execWidth=32 tgMem=0,5120,128,PASS
regGen,QKV-KV,262,1024,2816,TM2xTN2_sg4x1_BK64,1.000000,1510.998016,maxThreads=1024 execWidth=32 tgMem=0,10240,128,PASS
regGen,QKV-KV,262,1024,2816,TM2xTN4_sg4x1_BK16,0.800000,1888.747520,maxThreads=1024 execWidth=32 tgMem=0,3072,128,PASS
regGen,QKV-KV,262,1024,2816,TM2xTN4_sg4x1_BK32,1.066667,1416.560640,maxThreads=1024 execWidth=32 tgMem=0,6144,128,PASS
regGen,QKV-KV,262,1024,2816,TM2xTN4_sg4x1_BK64,1.200000,1259.165013,maxThreads=1024 execWidth=32 tgMem=0,12288,128,PASS
regGen,QKV-KV,262,1024,2816,TM4xTN1_sg4x1_BK32,1.100000,1373.634560,maxThreads=1024 execWidth=32 tgMem=0,8704,128,PASS
regGen,QKV-KV,262,1024,2816,TM4xTN1_sg4x1_BK64,2.333333,647.570578,maxThreads=1024 execWidth=32 tgMem=0,17408,128,PASS
regGen,QKV-KV,262,1024,2816,TM4xTN2_sg4x1_BK16,0.766667,1970.866977,maxThreads=1024 execWidth=32 tgMem=0,4608,128,PASS
regGen,QKV-KV,262,1024,2816,TM4xTN2_sg4x1_BK32,0.966667,1563.101396,maxThreads=1024 execWidth=32 tgMem=0,9216,128,PASS
regGen,QKV-KV,262,1024,2816,TM4xTN2_sg4x1_BK64,2.066667,731.128072,maxThreads=1024 execWidth=32 tgMem=0,18432,128,PASS
regGen,QKV-KV,262,1024,2816,TM4xTN4_sg4x1_BK16,0.933333,1618.926446,maxThreads=1024 execWidth=32 tgMem=0,5120,128,PASS
regGen,QKV-KV,262,1024,2816,TM4xTN4_sg4x1_BK32,1.100000,1373.634560,maxThreads=1024 execWidth=32 tgMem=0,10240,128,PASS
regGen,QKV-KV,262,1024,2816,TM4xTN4_sg4x1_BK64,1.766667,855.281896,maxThreads=1024 execWidth=32 tgMem=0,20480,128,PASS
regGen,QKV-KV,262,1024,2816,TM8xTN1_sg4x1_BK32,3.200000,472.186880,maxThreads=1024 execWidth=32 tgMem=0,16896,128,PASS
regGen,QKV-KV,262,1024,2816,TM8xTN2_sg4x1_BK16,1.066667,1416.560640,maxThreads=1024 execWidth=32 tgMem=0,8704,128,PASS
regGen,QKV-KV,262,1024,2816,TM8xTN2_sg4x1_BK32,2.266667,666.616772,maxThreads=1024 execWidth=32 tgMem=0,17408,128,PASS
regGen,QKV-KV,262,1024,2816,TM8xTN4_sg4x1_BK16,1.100000,1373.634560,maxThreads=1024 execWidth=32 tgMem=0,9216,128,PASS
regGen,QKV-KV,262,1024,2816,TM8xTN4_sg4x1_BK32,2.500000,604.399206,maxThreads=1024 execWidth=32 tgMem=0,18432,128,PASS
regGen,QKV-KV,262,1024,2816,TM1xTN1_sg4x2_BK32,0.833333,1813.197619,maxThreads=1024 execWidth=32 tgMem=0,3072,256,PASS
regGen,QKV-KV,262,1024,2816,TM1xTN1_sg4x2_BK64,0.733333,2060.451840,maxThreads=1024 execWidth=32 tgMem=0,6144,256,PASS
regGen,QKV-KV,262,1024,2816,TM1xTN2_sg4x2_BK16,0.800000,1888.747520,maxThreads=1024 execWidth=32 tgMem=0,2048,256,PASS
regGen,QKV-KV,262,1024,2816,TM1xTN2_sg4x2_BK32,0.766667,1970.866977,maxThreads=1024 execWidth=32 tgMem=0,4096,256,PASS
regGen,QKV-KV,262,1024,2816,TM1xTN2_sg4x2_BK64,0.766667,1970.866977,maxThreads=1024 execWidth=32 tgMem=0,8192,256,PASS
regGen,QKV-KV,262,1024,2816,TM1xTN4_sg4x2_BK16,0.700000,2158.568594,maxThreads=1024 execWidth=32 tgMem=0,3072,256,PASS
regGen,QKV-KV,262,1024,2816,TM1xTN4_sg4x2_BK32,0.833333,1813.197619,maxThreads=1024 execWidth=32 tgMem=0,6144,256,PASS
regGen,QKV-KV,262,1024,2816,TM1xTN4_sg4x2_BK64,0.933333,1618.926446,maxThreads=1024 execWidth=32 tgMem=0,12288,256,PASS
regGen,QKV-KV,262,1024,2816,TM2xTN1_sg4x2_BK32,0.700000,2158.568594,maxThreads=1024 execWidth=32 tgMem=0,5120,256,PASS
regGen,QKV-KV,262,1024,2816,TM2xTN1_sg4x2_BK64,0.866667,1743.459249,maxThreads=1024 execWidth=32 tgMem=0,10240,256,PASS
regGen,QKV-KV,262,1024,2816,TM2xTN2_sg4x2_BK16,0.600000,2518.330027,maxThreads=1024 execWidth=32 tgMem=0,3072,256,PASS
regGen,QKV-KV,262,1024,2816,TM2xTN2_sg4x2_BK32,0.700000,2158.568594,maxThreads=1024 execWidth=32 tgMem=0,6144,256,PASS
regGen,QKV-KV,262,1024,2816,TM2xTN2_sg4x2_BK64,0.833333,1813.197619,maxThreads=1024 execWidth=32 tgMem=0,12288,256,PASS
regGen,QKV-KV,262,1024,2816,TM2xTN4_sg4x2_BK16,0.700000,2158.568594,maxThreads=1024 execWidth=32 tgMem=0,4096,256,PASS
regGen,QKV-KV,262,1024,2816,TM2xTN4_sg4x2_BK32,0.733333,2060.451840,maxThreads=1024 execWidth=32 tgMem=0,8192,256,PASS
regGen,QKV-KV,262,1024,2816,TM2xTN4_sg4x2_BK64,1.033333,1462.256145,maxThreads=1024 execWidth=32 tgMem=0,16384,256,PASS
regGen,QKV-KV,262,1024,2816,TM4xTN1_sg4x2_BK32,0.866667,1743.459249,maxThreads=1024 execWidth=32 tgMem=0,9216,256,PASS
regGen,QKV-KV,262,1024,2816,TM4xTN1_sg4x2_BK64,1.000000,1510.998016,maxThreads=1024 execWidth=32 tgMem=0,18432,256,PASS
regGen,QKV-KV,262,1024,2816,TM4xTN2_sg4x2_BK16,0.766667,1970.866977,maxThreads=1024 execWidth=32 tgMem=0,5120,256,PASS
regGen,QKV-KV,262,1024,2816,TM4xTN2_sg4x2_BK32,0.833333,1813.197619,maxThreads=1024 execWidth=32 tgMem=0,10240,256,PASS
regGen,QKV-KV,262,1024,2816,TM4xTN2_sg4x2_BK64,1.300000,1162.306166,maxThreads=1024 execWidth=32 tgMem=0,20480,256,PASS
